englishname,chinesename,distillery,bottler,vintage,statedage,strength,size,casktype,casknumber,numberofbottles,rating,fbprice,euprice,chinaprice,notes,fbpricedate,eupricedate,chinapricedate,dateupdated
Bowmore 2002 SV Cask Strength Collection,波摩 11年 SV 單桶原酒,Bowmore,Signatory Vintage,2002,11,0.578,700,豬頭,2185,301,88.12,4200,,,比利時限定,2019/3/3,,,2019/3/13
Bowmore 25-year-old Seagulls - Old label,波摩 25年 海鷗 舊標,Bowmore,官方,,,0.43,750,,,,92.08,29000,460,,海鷗 舊標,2019/3/6,2018/12/3,,2019/3/14
Bowmore 25-year-old Small Batch Release,波摩 25年 Small Batch Release 小批次,Bowmore,官方,,25,0.43,700,美國波本 & 西班牙雪莉,,,88.69,8400,190,,Small Batch Release,2019/4/22,,,2019/4/23
Bowmore Cask Strength,波摩 海鷗 原酒 白標,Bowmore,官方,,,0.56,700,,,,84,,180,"2,600.00",2005裝瓶,,2019/2/4,2019/3/19,2019/3/19
Bowmore Cask Strength Glass Printed Label,波摩 海鷗 原酒 燙金,Bowmore,官方,,,0.56,700,,,,84.89,,220,"3,000.00",,,2019/1/7,2019/3/19,2019/3/19
Bowmore Dusk Bordeaux Wine Casked,波摩 Dusk Bordeaux Wine Casked,Bowmore,官方,,,0.5,700,Claret,,,86.42,12000,,,FB明價,2018/1/3,,,2019/4/6
Bowmore Golf Decanter No.1 Turnberry,波摩 Golf Decanter No.1,Bowmore,官方,,21,0.43,750,,,,93,,"1,118.00",,,,2019/3/4,,2019/2/27
Bowmore Legend,波摩 傳奇,Bowmore,官方,,,0.4,700,,,,82,8500,180,,"FB私價/""Legend""位於酒標中央綠底白字",2019/3/18,2019/3/4,,2019/3/23
Bowmore Mariner Glass printed label with gulls and ship,波摩 海鷗 15年 Mariner 燙金,Bowmore,官方,,15,0.43,750,,,,82.38,15000,258,"2,500.00",FB明價,,2019/3/4,2019/3/19,2019/3/19
Bowmore Mizunara Cask Finish,波摩 水楢桶,Bowmore,官方,,,0.539,700,水楢桶,,2000,91.1,43000,"1,050.00",,2019/2/19 明價42000,2018/9/19,2019/3/4,,2019/2/27
Brora 11th Release,布朗拉 第十一版 35年,Brora,官方,1976+1977,35,0.481,700,美國橡木(二次充填),,1566,93.34,,"1,060.00","13,800.00",2012裝瓶,,2019/2/4,2019/3/19,2019/3/20
Brora 12th Release,布朗拉 第十二版 2013 35年,Brora,官方,1977,35,0.499,700,美國橡木(二次填充) & 歐洲橡木,,2944,93.44,42000,"1,005.00",,2013版,2018/3/14,2018/11/5,,2019/3/8
Brora 1982 GM Connoisseurs Choice,布朗拉 1982 GM,Brora,Gordon & MacPhail,1982,28,0.43,700,雪莉(二次充填),,,86.93,22000,410,,FB無盒/新地圖標,2019/2/25,2019/3/4,,2019/3/14
Brora 1982 Rare Malts Selection,布朗拉 1982 Rare Malts,Brora,官方,1982,20,0.581,700,,,6000,89.05,27000,700,,FB拍賣無盒,2019/3/4,2019/3/4,,2019/3/13
Brora 4th Release,布朗拉 第四版 30年,Brora,官方,1975,30,0.563,700,,,3000,94.13,,"1,055.00","15,100.00",2005裝瓶,,2019/2/4,2019/3/19,2019/3/20
Brora 5th Release,布朗拉 第五版 2006 30年,Brora,官方,,30,0.557,700,,,2130,93.22,46400,"1,055.00","16,200.00",,2019/3/6,2019/2/4,2019/3/19,2019/3/20
Brora 9th Release,布朗拉 第九版 30年,Brora,官方,,30,0.543,700,,,3000,91.64,,826,"14,000.00",2010裝瓶,,2019/2/4,2019/3/19,2019/3/20
Bruichladdic Octomore Oc1 SMS Elements of Islay,艾雷元素 Oc1,Bruichladdich,Speciality Drinks Ltd,,,0.654,500,Cte-Rtie La Mouline Wine,,,90.11,4700,231,,,2018/12/25,2018/3/5,,2019/3/6
Bruichladdich 1984 Rare Cask Series 32 Year Old / All In,布萊迪 1984 32年  All In 標,Bruichladdich,官方,1984,32,0.437,700,12種波本,,3000,90.29,,625,,,,2019/3/4,,2019/2/27
Bruichladdich 1989 Black Art 21 Year Old / Edition 2.2,布萊迪 1989 黑色藝術 21年 2.2版,Bruichladdich,官方,1989,21,0.497,700,美國橡木 & 歐洲橡木,,292,91.75,,320,,,,2019/3/4,,2019/2/27
Bruichladdich 1991 Yellow Submarine 25 Year Old / WMD III,布萊迪 1991 黃色潛水艇 25年 WMDIII,Bruichladdich,官方,1991,25,0.46,700,二次充填雪莉 & 波本 & 西班牙紅酒桶,,1991,90.07,,500,,,,2019/3/4,,2019/2/27
Bruichladdich 1992 Black Art 24 Year Old / Edition 5.1,布萊迪 1992 黑色藝術 24年 5.1版,Bruichladdich,官方,1992,24,0.484,700,,,12000,88.6,,260,,,,2019/3/4,,2019/2/27
Bunnahabhain 1979 BR Berrys' Own Selection,布納哈本 1979 BR #1795,Bunnahabhain,Berry Bros & Rudd,1979,32,0.547,700,雪莉,1795,,88.84,20000,,,FB私價,2019/3/14,,,2019/3/23
Bunnahabhain 1979 BR Berrys' Own Selection,布納哈本 1979 BR Whisky Live Taipei,Bunnahabhain,Berry Bros & Rudd,1979,32,0.547,700,前雪莉(一次填充),1794,520,90.71,23500,,,MMA銀牌,2018/9/19,,,2019/3/7
Bunnahabhain 1979 Duncan Taylor 34 Year Old,布納哈本 1979 鄧肯泰勒 34年,Bunnahabhain,Duncan Taylor,1979,34,0.457,700,雪莉,386831,92,91.91,,700,,,,2019/3/4,,2019/2/27
Bunnahabhain 1980 TWA Joint Bottling with La Maison du Whisky,布納哈本 1980 TWA 33年,Bunnahabhain,The Whisky Agency,1980,33,0.458,700,前雪莉 Butt,,495,87.88,16800,262,,FB明價,2019/3/11,2019/3/4,,2019/3/22
